INFO_SATNAME,INFO_NORAD_NUMBER,INFO_OBJECT_TYPE,INFO_TYPE_OF_ORBIT,INFO_COUNTRY,INFO_CLASS_OF_ORBIT,PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH_YEAR,CURRENT,EXPECTED_LIFETIME_YRS,LAUNCH_MASS_KG,TIME_IN_ORBIT,COUNTRY_GROUPED_CIS,COUNTRY_GROUPED_PRC,COUNTRY_GROUPED_REST,COUNTRY_GROUPED_UK,COUNTRY_GROUPED_US,PURPOSE_COMMUNICATIONS,PURPOSE_EARTH_OBSERVATION,PURPOSE_OTHER,PURPOSE_TECHNOLOGY_DEVELOPMENT,RCS_SIZE_ENC,CLASS_OF_ORBIT_ENC
STARLINK-4513,53548,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.068118948824343,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
ONEWEB-0302,49091,PAYLOAD,Polar,UK,LEO,0.016615284282919307,0.891527143581938,0.029685373913526426,0.030263084085937066,0.9130434782608603,1.0,0.23076923076923078,0.023786249592701206,0.10995850622406639,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-4800,53854,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.06454587367450437,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
YAOGAN-30 M,43172,PAYLOAD,Non-Polar Inclined,PRC,LEO,0.006462322878994481,0.35494672754946727,0.011774180111632556,0.012144499915857967,0.7826086956521721,1.0,0.23076923076923078,0.06158357771260997,0.260258183494698,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
GLOBALSTAR M075,37192,PAYLOAD,Non-Polar Inclined,GLOB,LEO,0.019846445722416547,0.5274479959411466,0.035211463164033216,0.035900600213159814,0.43478260869564167,1.0,1.0,0.11371782339524275,0.5662747810050714,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
NUSAT-21 (ELISA),48920,PAYLOAD,Sun-Synchronous,ARGN,LEO,0.00014821841465584296,0.9879249112125823,0.0003332315125933738,0.00030852078308184205,0.9130434782608603,0.0,0.23076923076923078,0.005702183121537961,0.03607653296449977,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
STARLINK-5201,54076,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.06097279852466574,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-5740,55595,PAYLOAD,Non-Polar Inclined,US,LEO,0.006328926305804228,0.4361237950279046,0.011496487184471412,0.01192012116452572,1.0,1.0,0.15384615384615385,0.0469208211143695,0.047717842323651456,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-5867,55918,PAYLOAD,Polar,US,LEO,0.0065290211655896074,0.7100963977676306,0.011885257282497015,0.012256689291524092,1.0,1.0,0.15384615384615385,0.0469208211143695,0.043914246196403876,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
MEGHA-TROPIQUES,37838,PAYLOAD,Non-Polar Inclined,IND,LEO,0.0026382877808738964,0.2023338406900051,0.006525783788286912,0.003365681269983733,0.4782608695652186,0.0,0.23076923076923078,0.162593678722711,0.41828031350852923,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
STARLINK-1295,45373,PAYLOAD,Non-Polar Inclined,US,LEO,0.0003334914329756328,0.5378995433789954,0.0005553858543222902,0.0007572782857463399,0.8695652173912976,0.0,0.15384615384615385,0.036656891495601175,0.15260488704472105,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-2148,47737,PAYLOAD,Non-Polar Inclined,US,LEO,0.0005261753720282175,0.5377980720446474,0.0010552331232123518,0.0009816570370785888,0.9130434782608603,0.0,0.15384615384615385,0.04203323558162268,0.0813739050253573,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
SAPPHIRE,39088,PAYLOAD,Non-Polar Inclined,CA,LEO,0.00966384063556057,0.9983764586504311,0.017716808752881064,0.017753968699164187,0.5652173913043441,1.0,0.23076923076923078,0.023786249592701206,0.46715076071922546,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
STARLINK-5533,56355,PAYLOAD,Sun-Synchronous,US,LEO,0.006388213671666573,0.9907661085743276,0.0116631029407681,0.011976215852358781,1.0,1.0,0.15384615384615385,0.04855001629195178,0.03918856615952052,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-4650,53611,PAYLOAD,Non-Polar Inclined,US,LEO,0.003935198909112467,0.539523084728564,0.007220016106189775,0.007460593481797274,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.06708160442600275,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
XW-2B,40911,PAYLOAD,Sun-Synchronous,PRC,LEO,0.00018527301831978982,0.9884322678843227,0.0003332315125933738,0.0004207101587479665,0.6521739130434696,0.0,0.0,0.0013033561420658195,0.3248040571692024,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ONEWEB-0509,54127,PAYLOAD,Polar,UK,LEO,0.01616321811821901,0.8920345002536784,0.028907833717475215,0.029477758456274192,0.956521739130423,1.0,0.23076923076923078,0.023786249592701206,0.0607422775472568,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
M2-A,47967,PAYLOAD,Non-Polar Inclined,AUS,LEO,0.0009115432501334009,0.4561136478944698,0.0016383882702507568,0.0018511246984910532,0.9130434782608603,0.0,0.046153846153846156,0.001140436624307592,0.10822959889349931,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
OBJECT C,48250,UNKNOWN,Sun-Synchronous,PRC,LEO,0.0507870397818225,0.0732623033992897,0.1646163672211269,0.0062265103494699055,0.9130434782608603,0.0,0.046153846153846156,0.011078527207559464,0.05567081604426003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
STARLINK-30095,56289,PAYLOAD,Non-Polar Inclined,US,LEO,0.006328926305804228,0.4361237950279046,0.011496487184471412,0.01192012116452572,1.0,1.0,0.15384615384615385,0.12186379928315412,0.040110650069156296,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-5227,54181,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.06005071461502997,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
